source,target,True_label,training_edge
0080964184,B002CIP12U,0,0
0080964184,B00CH6ATMO,0,0
0080964184,B00CH6AWOY,0,0
0080964184,B00CH6AXPW,0,0
0080964184,B00EOI2SR2,0,0
0080964184,B00EOQZB0A,0,0
0080964184,B00EOQZB4G,0,0
0439319005,B00004XQP2,0,0
0439319005,B002O0UCS4,0,1
B00028D89A,043934302X,0,0
B00000JLNL,0439381673,0,0
B00002SANG,0439381673,1,1
B00003IE8S,0439381673,0,1
0439381673,B00005LBVU,1,1
B0002BQM9A,0439381673,0,0
B0008GMXVA,0439381673,0,0
B000B6AIUU,0439381673,0,0
0439381673,B000R9BNO6,1,1
B002XOKD76,0439381673,0,0
0439381673,B004PYH7X0,1,1
B00095M8EW,043945669X,0,0
B000BSHEKA,043945669X,0,0
B000EGMAK8,043945669X,0,0
043945669X,B001O4BGXQ,1,0
B004G7T5RW,043945669X,0,0
043945669X,B004LC3VCW,1,1
0439465699,B000JX5JGI,0,0
0439516935,B000050AWM,0,0
0439516935,B000050AWN,0,0
B0000C7GEO,0439516935,0,0
B00092D7VI,0439516935,0,0
0439516935,B000B5UGEO,0,1
B000J5695Q,0439516935,0,0
0439516935,B000XSDM04,0,0
0439516935,B001B5J2UW,0,0
0439516935,B0057UYU3Q,0,0
0439516935,B00A8IZMUM,0,0
0439516935,B00EPACNPQ,0,0
0439516935,B00EPACO3M,0,1
0439574552,B000266786,0,0
B000066FW4,0439697298,0,0
B0000AQPTB,0439697298,0,0
0439697298,B000NKPF7U,0,0
0439697298,B0014ZQMXO,0,0
0439697298,B002U0L1BU,0,0
0439697298,B004LC3VCW,0,1
0439697298,B004XE8ZQA,0,0
0439697301,B0001GU7JC,0,0
0439697301,B0014ZQMXO,0,0
0439801494,B0006B5LQ6,0,0
0439827442,B00024YCIA,0,0
0439827442,B00EZJRTYM,0,0
0545077850,B00004U8JO,1,1
0545077850,B00004U8JP,0,0
0545077850,B000AQD6GE,0,0
B000GEFDSE,0545077850,1,1
0547799195,0669524115,0,1
0547799195,0669524425,0,0
0547799195,1586509586,0,1
0547799195,1586509683,0,0
0615179088,061591067X,1,1
0615179088,1607179555,1,0
1608299643,0615179088,0,0
0615179088,1617160466,1,1
1617160474,0615179088,0,0
0615179088,1617160482,1,1
2749004373,0615179088,0,0
B00004UFGD,0615179088,0,0
B000058E2J,0615179088,0,1
B0000899NY,0615179088,1,1
B00009ADF3,0615179088,0,0
B0001MBCH2,0615179088,0,1
B0001Z95HS,0615179088,0,1
B0002XYDYO,0615179088,0,0
B000BWFK5M,0615179088,1,1
B000PRBV74,0615179088,0,0
B0011DKCTO,0615179088,0,0
B0011DO1KU,0615179088,1,1
B0016A3R26,0615179088,0,0
B001AFFYSW,0615179088,0,0
B001FJOD08,0615179088,0,0
B0026PI9DM,0615179088,0,0
0615179088,B00310UXQW,1,1
B004B7FGF2,0615179088,0,0
0615179088,B00ANH074Y,1,1
0615179088,B00G8W7MIW,1,1
061591067X,1617160482,1,0
2749004373,061591067X,0,1
B00005Y3VG,061591067X,0,0
B0001Z95HS,061591067X,0,0
B000LWKBC4,061591067X,0,0
B001FJOD08,061591067X,0,0
B004B7FGF2,061591067X,0,0
0669524425,0669524115,1,0
0669524115,1586509683,1,1
B0002ZHX58,0669524115,0,0
0669524425,1586509683,1,1
0740314548,B000266786,0,1
0740329014,0740328719,0,0
0740329014,0740328980,1,1
0740328980,B002U0L1BU,0,0
0740328980,B00CAY6C10,0,0
0740329014,B002U0L1BU,0,0
0763022713,1564343804,0,0
0763022713,B00002S93F,0,0
B00009XBKL,0763022713,0,0
0763022713,B0002BQMA4,0,0
0763022713,B000FMF2XI,0,0
0763022713,B0013QOS0S,0,0
0763022713,B007FMSHGK,0,0
0873374770,B00002SA2J,0,0
0873374770,B000W1Z0OI,0,1
0873374770,B001D69PXS,0,0
0879392738,0879392991,1,1
0879392908,0879392991,1,1
0879392908,0879393513,1,1
0879392908,0879393629,1,1
0879392908,B003CUYMEK,1,1
0879393513,0879392991,1,1
0879393629,0879392991,1,1
0879392991,B003CUYMEK,1,1
0879392991,B004PW57NE,1,1
0879392991,B009M9W8SW,1,0
0879393629,B003CUYMEK,1,1
0899334741,B001QKUQ0W,0,1
0899334741,B00G0PPX10,0,0
0899335969,B001QKUQ0W,0,0
0944205461,B000WMQYLA,0,0
0966674006,B0007ZKAZI,0,0
0967219558,0982583885,0,0
0967219558,0989614026,0,0
1564270491,0976963027,0,1
1564272214,0976963027,0,0
B00004VP4Y,0976963027,0,1
B00005A9VI,0976963027,0,1
B00005LIL2,0976963027,0,0
B00005NBPU,0976963027,0,0
B0001IQQ0E,0976963027,0,0
B0002D12D4,0976963027,0,0
B000BLJEEQ,0976963027,0,0
B000G29030,0976963027,0,0
B000GDAY98,0976963027,0,0
B000QO76HU,0976963027,0,0
B000RG1GGO,0976963027,0,0
B000SKZHM8,0976963027,0,0
B000SKZIXG,0976963027,0,0
B000V0CQYW,0976963027,0,0
B003YJ78AE,0976963027,0,1
B009XD6D6U,0976963027,0,0
B00D9ILK7W,0976963027,0,0
B00ESFEWCA,0976963027,0,0
0981766005,B000HKMQ64,0,0
B005WA9MH0,0982176813,1,1
0982176872,B0000899QX,1,1
0982269625,0982269633,1,0
B000F2OMR0,0982269625,0,0
0982269625,B001CED4BA,1,0
B006JJODW2,0982269625,0,0
0982269633,B001CED4BA,0,0
098229123X,1617168777,0,0
098229123X,B0002BK412,0,0
0982583885,0989614026,1,1
B00063MKF4,0982583885,0,0
B003BG57Z8,0982583885,0,0
B00HE2LT20,0982583885,0,0
0982697813,1418516805,0,1
0982697813,B00006IJRJ,0,0
0982697813,B0002BQSC6,0,0
0982697813,B0009G2K12,0,1
0982697813,B000EGHMKG,0,0
B004NR32OW,0982697813,0,0
0982697813,B004QNXLXA,0,0
0982697813,B00A0Q9YC4,0,0
0982697813,B00A7K2NIK,0,1
B003BG57Z8,0989614026,0,0
B00HE2LT20,0989614026,0,0
B00JC8UQO6,0989614026,0,0
1413308171,1413313701,0,0
1413308171,B002JB1TTY,0,1
1413308171,B0030VTUWA,0,0
1413308171,B004DLCQZ4,0,1
1413308171,B00ENFVSIQ,0,0
1413308171,B00HUUBNT0,0,1
1413308279,B000I0DBH6,0,0
1413308279,B001FDG0IW,0,0
1413308279,B00EOR3IJK,0,0
1413309674,B002JB1TTY,0,0
1413309674,B004DLCQZ4,0,0
1413309674,B00ENFVSIQ,0,0
1413309674,B00HUUBNT0,0,0
1413313701,B00004TCWC,0,0
1413313701,B000F9D3FK,0,0
B000H3FUXC,1413313701,0,0
1413313701,B000I0DBH6,1,1
B000QFON5W,1413313701,0,0
1413313701,B002JB1TTY,0,1
1413313701,B004DLCQZ4,0,0
B004NDT6GY,1413313701,1,0
B005CELLHK,1413313701,0,0
1413313701,B0073HBFMK,0,0
1413313701,B00ENFVSIQ,0,0
1413313701,B00HUUBNT0,0,0
1413313728,B000I0DBH6,0,0
1413313728,B003DU34Y8,0,0
1413313728,B00EOR3IJK,0,0
1414311583,1414311907,0,0
1414311583,B00006IJRJ,0,1
1414311907,1418516805,0,0
1414311907,B00005V6ND,0,0
1414311907,B00006IJRJ,0,1
1414311907,B0002BQSC6,0,1
1414311907,B0009G2K12,0,0
1414311907,B000EGHMKG,0,0
1414311907,B000P4Q8BG,0,0
1414311907,B004QNXLXA,0,0
1414311907,B00A7K2NIK,0,0
1418516805,1418511013,0,0
1418511013,B000EGHMKG,0,1
1418511013,B004QNXLXA,0,0
1418516805,B00002S6LG,0,0
1418516805,B00005V6ND,0,0
1418516805,B00006IJRJ,0,0
B000098XKQ,1418516805,0,0
1418516805,B00027PPAQ,0,0
1418516805,B0002BQSC6,0,0
1418516805,B0002H4BAG,0,0
1418516805,B0006GT75C,0,1
1418516805,B0009G2K12,0,0
1418516805,B000EGHMKG,0,0
B000FLGGIE,1418516805,0,0
1418516805,B000P1ZYX2,0,0
1418516805,B000P4Q8BG,0,0
1418516805,B000P4S3YQ,0,0
1418516805,B000P4WQ76,0,0
1418516805,B001D2AS38,0,0
1418516805,B0031KRL08,0,0
1418516805,B004QNXLXA,0,0
B004WSPYIE,1418516805,0,0
1418516805,B00A7K2NIK,0,0
1423447530,B005FV8RV8,0,0
1426296355,3803229421,0,0
1426296355,B0000296YH,0,0
1426296355,B000077CE8,0,0
1426296355,B000BCZ8NQ,0,0
B00192D1I6,1426296355,1,1
1426296355,B00GVFI028,0,0
1564270491,1564272214,0,0
B000QO76HU,1564270491,0,0
1564270491,B000SKZHM8,0,0
1564270491,B00E6LJ1OA,0,0
1564270491,B00E6LJAOG,0,0
1564270491,B00ENFVSIQ,0,1
B000QO76HU,1564272214,0,0
1564272214,B0028Q0SZ6,0,0
1564272214,B00E6LJAOG,0,0
1564272214,B00E6LJBUO,0,0
1564343804,B00002S93F,0,0
1564343804,B0002BQMA4,0,0
1564343804,B000FMF2XI,0,0
1564343804,B0013QOS0S,0,0
1565145127,B0002H4BAG,0,0
1565145127,B0009G2K12,0,0
1565145127,B000EGHMKG,0,0
1565145127,B000P1ZYX2,0,1
B000P4Q4BU,1565145127,0,1
1565145127,B000P4Q8BG,0,0
1565145127,B000P4S3YQ,0,0
1565145127,B000P4WQ76,0,0
1565145127,B00A7K2NIK,0,0
157264463X,B0002BQSC6,0,0
157264463X,B004QNXLXA,0,0
157264463X,B00A7K2NIK,0,0
1580228518,1617160768,0,0
1580228518,1617168777,0,0
B0000E3QNB,158298302X,0,0
B00065GQ0C,158298302X,0,0
B0007XQBWQ,158298302X,0,0
158298302X,B0074B7QSC,1,1
1586509586,1586506420,1,1
1586509683,1586509586,1,1
1586509683,B000266786,1,1
1592970362,B0079L2OQG,0,0
1592970362,B007N324OM,0,0
1592970362,B007ZQJQAC,0,0
1592970362,B00EP7AP7C,0,0
1592970362,B00EP7AQ4O,0,0
1592970362,B00EP7AQBC,0,0
1595462686,B0009MW9XA,0,0
1595462686,B000W1Z0OI,0,0
1595462686,B001D69PXS,0,0
1595462686,B00E6LJAGO,0,0
1596714670,B0018QV3OC,0,0
1596714808,B002J1UJ4A,0,0
1596715367,B007R0RKV8,0,0
1597460990,1597461156,1,1
1597461156,B009VLX6XM,0,0
1597461261,B002U0L1BU,0,1
1597750328,B001BRPHXG,0,0
1597750328,B001JBS4DO,0,0
1597750328,B001RYFYYK,0,0
1597750336,B0000DIH1D,0,0
1597750492,B001RYFYYK,0,0
1599010798,B00005LJEN,0,0
1599010798,B000266786,0,1
1603910921,1607179202,0,0
1603910921,1607179245,0,0
1603910921,1608293017,0,0
1603910921,1608297187,0,0
1603910921,1608299775,0,0
1603910921,1608299988,0,0
1603910921,1617160407,0,0
1603910921,1617160482,0,0
1603910921,1617160822,0,0
1603910921,1617160830,0,0
1603910921,1617160849,0,1
1603910921,1617160857,0,0
1603910921,1617160911,0,0
1603910921,1617160938,0,1
1603910921,1617160946,0,0
B001AFFZM2,1603910921,0,0
B001AFFZN6,1603910921,0,0
B001AFFZRC,1603910921,0,0
1603910921,B001QFA17A,0,0
B00282UXC8,1603910921,0,0
1603910921,B002ZF31NQ,0,0
1603910921,B00G212LOY,0,0
1603916040,1617160857,0,0
1603916040,B002ZF31NQ,0,1
1603916040,B00BMT5HVK,0,0
1603918310,1617160857,0,0
B000OL1PM2,1605380067,0,1
160717894X,1608292983,0,0
160717894X,1608293017,0,0
1608297128,160717894X,1,1
160717894X,1608297144,0,0
160717894X,1608297160,0,1
160717894X,1608299562,0,0
